"","X","logFC","logCPM","PValue","FDR"
"1","ENSG00000168530",-14.1310289627869,7.26236506595504,3.1688701185652e-105,9.13268368170491e-101
"2","ENSG00000111245",-13.4172072860453,7.76994592407984,1.23832052988622e-102,1.78441988356604e-98
"3","ENSG00000092054",-13.1665133239717,9.12685334556538,3.26459712994082e-102,3.13618964282981e-98
"4","ENSG00000125414",-13.0701062159422,9.24685958322174,7.61371820666302e-102,5.48568396790071e-98
"5","ENSG00000163092",-13.2431716400838,7.28352852053142,3.57276023811818e-100,2.05933900125132e-96
"6","ENSG00000104879",-12.6195100955659,8.95029682088845,9.50628529766583e-98,4.56618570464549e-94
"7","ENSG00000197893",-11.4915087355289,6.94912840180109,1.16005398475488e-86,4.77610797723365e-83
"8","ENSG00000129170",-11.8520501378121,5.3774207953782,1.81069857965849e-86,6.52304163321972e-83
"9","ENSG00000177354",-12.7003624645748,4.23832814539614,3.01469802935318e-86,9.65373302288431e-83
"10","ENSG00000196228",-12.2949573691868,4.88124533495719,1.07512794882777e-85,3.09851874852164e-82
"11","ENSG00000154415",-12.6648351918707,3.32465465792163,7.22326346539527e-80,1.89249502793356e-76
"12","ENSG00000170807",-10.6000934243065,5.42849439035058,3.4874764260576e-78,8.37575588324835e-75
"13","ENSG00000240045",-11.4654510675274,3.19919014806268,6.84265578102023e-76,1.51696415083849e-72
"14","ENSG00000081248",-10.4466289595189,4.46411405172353,3.06457016236889e-75,6.3086365771051e-72
"15","ENSG00000143632",-9.96187819581353,9.96722237205316,1.65235225806829e-74,3.17471947183522e-71
"17","ENSG00000174407",-11.5624379155752,2.21794111869438,6.16225113747107e-71,1.04468281048186e-67
"19","ENSG00000168333",-10.9160519402601,2.22416951210322,9.6697131889695e-69,1.46674281108474e-65
"20","ENSG00000248746",-9.40689762437251,4.34696841424272,6.26911514145777e-67,9.03379491884064e-64
"22","ENSG00000164122",-9.75664740275201,2.99879756151525,1.14921110447121e-66,1.50546654685729e-63
"23","ENSG00000163833",-9.70078313276866,2.89107853068265,4.15264352529358e-66,5.20344288691135e-63
"25","ENSG00000068976",-8.95733475909388,7.45433144029685,4.16833006888962e-65,4.80525090341595e-62
"26","ENSG00000174429",-9.54808358004411,2.89636752081684,6.49486899511871e-65,7.19931247843543e-62
"27","ENSG00000168509",-9.32570730520367,2.80604771244385,1.06235580074056e-63,1.1339664510127e-60
"28","ENSG00000034971",-9.02677623426599,3.49821416608523,6.20617979618644e-63,6.38793220450333e-60
"29","ENSG00000130595",-8.72646264678852,6.65076260623119,6.88768910923597e-63,6.84493793545451e-60
"30","ENSG00000120729",-8.81122332368828,4.25067182282432,1.24993899977817e-62,1.20077473245356e-59
"31","ENSG00000086967",-8.70918764886735,5.49010383832914,1.73200042280131e-62,1.61020168339142e-59
"33","ENSG00000157119",-9.42511838256089,2.44315715608512,3.62310592689831e-61,3.16417917615786e-58
"34","ENSG00000203858",-9.80721030245049,1.57509315643088,5.22609878892988e-61,4.42988726755762e-58
"35","ENSG00000205678",-10.7492330648723,0.932304930264469,1.30419050628363e-60,1.07390772545983e-57
"37","ENSG00000170290",-8.50190666155353,5.34947371803344,1.71277641096793e-60,1.33411395038096e-57
"38","ENSG00000114854",-8.39823430328788,6.42665558006046,6.15429748824206e-60,4.66754877924043e-57
"39","ENSG00000124701",-8.47306066742802,3.81011969587431,4.04219044225296e-59,2.98707509091616e-56
"40","ENSG00000167531",-9.32178501826756,1.7543540218609,1.15938863783419e-58,8.34949782927057e-56
"41","ENSG00000164879",-8.21699090525034,7.38463105242762,1.18781891394897e-58,8.34949782927057e-56
"42","ENSG00000239474",-8.2512479098012,6.41396646210901,1.22092108416188e-58,8.37784420132034e-56
"44","ENSG00000273540",-8.78292580111452,2.31446031381762,1.83748251070882e-58,1.20355104451428e-55
"45","ENSG00000135222",-10.299550365219,0.978407311217767,2.30674679346921e-58,1.47734316861739e-55
"47","ENSG00000101470",-8.12415989381291,6.53532387576986,1.48302155718549e-57,9.09376197406081e-55
"48","ENSG00000196296",-8.05935659357483,7.25730188335988,3.36258943356462e-57,2.01895473906942e-54
"49","ENSG00000186439",-8.09750245249685,5.79960556223985,4.48475407662848e-57,2.63776760180475e-54
