"","logFC","logCPM","PValue","FDR"
"ENSG00000205293",6.73061196789135,4.43667785483336,5.73881870102335e-289,9.72364060788589e-287
"ENSG00000180483",8.31411631014533,0.134635618070154,2.10834146753385e-267,3.14115615626326e-265
"ENSG00000286953",6.04051934706541,0.833408411644344,3.85846365366433e-225,4.30218697383572e-223
"ENSG00000254139",5.10292033998835,5.17430492853228,1.07333301042594e-199,1.04506353536261e-197
"ENSG00000189295",5.50021715144329,-0.290081835138625,2.93018557609462e-184,2.59697088301822e-182
"ENSG00000226939",4.65344026320764,2.17467665590555,1.67017609791409e-175,1.36800087261612e-173
"ENSG00000257935",4.78624231728221,1.09369941844252,4.25629172667567e-172,3.36656117923443e-170
"ENSG00000227579",4.48797056331433,2.0472893127022,2.52760160366095e-166,1.89105085347491e-164
"ENSG00000269954",4.57266348220086,0.262380859205641,2.04689851706417e-156,1.44095819230801e-154
"ENSG00000286778",4.24074395625848,1.44338234288446,6.16944144688276e-149,4.06184273545719e-147
"ENSG00000089116",4.12878768359815,2.23732615396436,9.96773926268408e-148,6.48841633925942e-146
"ENSG00000233995",5.46207516937944,-1.80967634825027,1.07100768774574e-145,6.84276908076369e-144
"ENSG00000173157",4.0872911369256,1.69989388622224,1.68711795404219e-145,1.07000425837557e-143
"ENSG00000100181",4.06494170300753,6.09321661953586,4.60095777891911e-145,2.90204572314487e-143
"ENSG00000259271",4.88338063192285,-1.42015033190351,2.49029779060932e-140,1.4918049069742e-138
"ENSG00000239435",4.57310380699663,-1.00932213829083,1.08490094982649e-139,6.44323046920149e-138
"ENSG00000229559",4.1817047040761,-0.246845601877559,8.00072463226504e-135,4.56344961904688e-133
"ENSG00000227920",4.24590689881865,-0.657504644181904,8.05421127959657e-134,4.51205531408842e-132
"ENSG00000236501",3.78115903735332,1.7858532922997,6.08080776373492e-130,3.29957802752743e-128
"ENSG00000129152",3.99164915056685,-0.158398164765656,1.19615015223622e-128,6.37055932388981e-127
"ENSG00000283633",3.74593592118964,3.44699685565848,1.51080869287467e-128,8.03401576449431e-127
"ENSG00000286788",3.83960165321996,0.442574881202497,1.09930295506876e-125,5.67973193452195e-124
"ENSG00000248184",3.61510747887051,3.45760034795078,8.5801241774152e-122,4.24280389402513e-120
"ENSG00000286371",3.73228413383347,0.322009768995082,1.14296291546856e-120,5.60376073378309e-119
"ENSG00000244342",3.69070746491099,0.65194561441458,2.61779804305549e-119,1.2655131378771e-117
"ENSG00000278192",3.47309150869216,4.19788594123257,5.51826797061319e-115,2.53305355118519e-113
"ENSG00000227432",3.43534840723043,2.36603638363936,1.16733065306601e-112,5.25374791969095e-111
"ENSG00000165762",3.66535877876132,-0.642546141836622,7.20815081603049e-111,3.16984393073911e-109
"ENSG00000112164",3.39117487747975,2.63935308793564,8.94170106376521e-111,3.92719056250374e-109
