"","underregulated_genes"
"1","ENSG00000118271"
"2","ENSG00000204542"
"3","ENSG00000154997"
"4","ENSG00000165588"
"5","ENSG00000286404"
"6","ENSG00000123407"
"7","ENSG00000185686"
"8","ENSG00000259974"
"9","ENSG00000164007"
"10","ENSG00000170689"
"11","ENSG00000235718"
"12","ENSG00000248550"
"13","ENSG00000120068"
"14","ENSG00000133110"
"15","ENSG00000249641"
"16","ENSG00000228630"
"17","ENSG00000120093"
"18","ENSG00000228564"
"19","ENSG00000173432"
"20","ENSG00000106511"
"21","ENSG00000239552"
"22","ENSG00000123364"
"23","ENSG00000286734"
"24","ENSG00000164093"
"25","ENSG00000125798"
"26","ENSG00000229108"
"27","ENSG00000139219"
"28","ENSG00000125879"
"29","ENSG00000241149"
"30","ENSG00000173467"
"31","ENSG00000198768"
"32","ENSG00000181123"
"33","ENSG00000180818"
"34","ENSG00000180347"
"35","ENSG00000149948"
"36","ENSG00000153789"
"37","ENSG00000225511"
"38","ENSG00000133115"
"39","ENSG00000259221"
"40","ENSG00000229637"
"41","ENSG00000182742"
"42","ENSG00000123388"
"43","ENSG00000142319"
"44","ENSG00000133636"
"45","ENSG00000183242"
"46","ENSG00000184937"
"47","ENSG00000183644"
"48","ENSG00000233730"
"49","ENSG00000213085"
"50","ENSG00000136574"
"51","ENSG00000286425"
"52","ENSG00000244681"
"53","ENSG00000226690"
"54","ENSG00000167757"
"55","ENSG00000138136"
"56","ENSG00000155761"
"57","ENSG00000078399"
"58","ENSG00000223486"
"59","ENSG00000256637"
"60","ENSG00000161798"
"61","ENSG00000186973"
"62","ENSG00000183671"
"63","ENSG00000181541"
"64","ENSG00000236164"
"65","ENSG00000254815"
"66","ENSG00000251151"
"67","ENSG00000179023"
"68","ENSG00000186895"
"69","ENSG00000144681"
"70","ENSG00000133048"
"71","ENSG00000286451"
"72","ENSG00000253187"
"73","ENSG00000182333"
"74","ENSG00000091181"
"75","ENSG00000260205"
"76","ENSG00000279388"
"77","ENSG00000142700"
"78","ENSG00000012223"
"79","ENSG00000255772"
"80","ENSG00000016082"
"81","ENSG00000159212"
"82","ENSG00000007216"
"83","ENSG00000075891"
"84","ENSG00000134339"
"85","ENSG00000112246"
"86","ENSG00000236544"
"87","ENSG00000198691"
"88","ENSG00000080572"
"89","ENSG00000257017"
"90","ENSG00000253552"
"91","ENSG00000232111"
"92","ENSG00000046604"
"93","ENSG00000127129"
"94","ENSG00000280890"
"95","ENSG00000179813"
"96","ENSG00000250133"
"97","ENSG00000172752"
"98","ENSG00000243910"
"99","ENSG00000133067"
"100","ENSG00000171540"
"101","ENSG00000095777"
"102","ENSG00000128610"
"103","ENSG00000170162"
"104","ENSG00000106006"
"105","ENSG00000168779"
"106","ENSG00000079931"
"107","ENSG00000187783"
"108","ENSG00000197587"
"109","ENSG00000188257"
"110","ENSG00000105996"
"111","ENSG00000122176"
"112","ENSG00000215644"
"113","ENSG00000197769"
"114","ENSG00000164651"
"115","ENSG00000112238"
"116","ENSG00000106004"
"117","ENSG00000123572"
"118","ENSG00000152760"
"119","ENSG00000140481"
"120","ENSG00000135903"
"121","ENSG00000223703"
"122","ENSG00000230062"
"123","ENSG00000228208"
"124","ENSG00000164746"
"125","ENSG00000254369"
"126","ENSG00000166415"
"127","ENSG00000105997"
"128","ENSG00000184254"
"129","ENSG00000118492"
"130","ENSG00000120075"
"131","ENSG00000164879"
"132","ENSG00000133640"
"133","ENSG00000169435"
"134","ENSG00000198774"
"135","ENSG00000171864"
"136","ENSG00000002745"
"137","ENSG00000284700"
"138","ENSG00000227128"
"139","ENSG00000134443"
"140","ENSG00000182759"
"141","ENSG00000230316"
"142","ENSG00000255737"
"143","ENSG00000140287"
"144","ENSG00000112319"
"145","ENSG00000157330"
"146","ENSG00000124875"
"147","ENSG00000157856"
"148","ENSG00000132915"
"149","ENSG00000173714"
"150","ENSG00000106538"
"151","ENSG00000132554"
"152","ENSG00000188488"
"153","ENSG00000105877"
"154","ENSG00000113430"
"155","ENSG00000183798"
