"","logFC","logCPM","PValue","FDR"
"ENSG00000118271",-14.4402414373956,7.75987361676573,0,0
"ENSG00000204542",-9.36051756585121,0.00350390082487742,0,0
"ENSG00000154997",-9.16480627433667,1.93657672408101,0,0
"ENSG00000165588",-8.52961585998897,-0.156274777607643,0,0
"ENSG00000286404",-8.37109539734452,1.29719043889468,0,0
"ENSG00000123407",-8.2629988403238,-0.87991094542421,0,0
"ENSG00000185686",-7.47052774167235,1.30987343727923,0,0
"ENSG00000259974",-7.01542795862019,-1.59176854187432,0,0
"ENSG00000164007",-6.91754213889804,-0.847090398264333,0,0
"ENSG00000170689",-6.81958548846806,-0.559554827428506,0,0
"ENSG00000235718",-6.55984431475366,0.523722788703014,0,0
"ENSG00000248550",-6.48318611294618,-2.56113574195079,0,0
"ENSG00000120068",-6.44985527247102,-0.565944947245255,0,0
"ENSG00000133110",-6.33196824503058,4.92113459723304,0,0
"ENSG00000249641",-6.32048830573307,-2.70860104509844,0,0
"ENSG00000228630",-6.24191022273358,-0.923355147955894,0,0
"ENSG00000120093",-6.1742587249034,1.4992648765498,0,0
"ENSG00000228564",-6.15794410186527,-3.30819946393629,0,0
"ENSG00000173432",-6.15173694044707,0.715278125920703,0,0
"ENSG00000106511",-6.13276653781052,2.33995006864835,0,0
"ENSG00000239552",-6.11483241870048,-3.17486382076974,0,0
"ENSG00000123364",-6.10587861415239,-1.13897543546535,0,0
"ENSG00000286734",-5.99382069787612,-3.16168213423951,0,0
"ENSG00000164093",-5.93019957799249,-0.428410840964211,0,0
"ENSG00000125798",-5.91443886045767,-1.41965828923401,0,0
"ENSG00000229108",-5.85208814931058,0.865050933299719,0,0
"ENSG00000139219",-5.84132415883445,3.56151711417609,0,0
"ENSG00000125879",-5.79520731153857,-2.52112603030114,0,0
"ENSG00000241149",-5.7939246349771,-3.75350176159853,0,0
"ENSG00000173467",-5.76881068085886,-2.1283929254897,0,0
"ENSG00000198768",-5.70765783284771,0.0213329364165905,0,0
"ENSG00000181123",-5.68606826620751,-3.02012646906915,0,0
"ENSG00000180818",-5.66285170772376,0.382494495631429,0,0
"ENSG00000180347",-5.65071049002555,0.762433959659556,0,0
"ENSG00000149948",-5.61483038457636,0.310468854921422,0,0
"ENSG00000153789",-5.60136480324729,-1.75504472281624,0,0
"ENSG00000225511",-5.58486276273234,0.678801525129279,0,0
"ENSG00000133115",-5.56862042325586,-1.58872168090349,0,0
"ENSG00000259221",-5.54457962316123,-2.68252647881675,0,0
"ENSG00000229637",-5.54021814559857,-3.73994196511187,0,0
"ENSG00000182742",-5.52070864363715,0.0122670175681374,0,0
"ENSG00000123388",-5.46521084478026,-0.869241434657019,0,0
"ENSG00000142319",-5.46057002243673,-0.93706671395336,0,0
"ENSG00000133636",-5.45048614325078,1.33547305075788,0,0
"ENSG00000183242",-5.44937491829229,-2.76946535393411,0,0
"ENSG00000184937",-5.44351593272684,-1.06862150713497,0,0
"ENSG00000183644",-5.38237377400621,-0.873123211052738,0,0
"ENSG00000233730",-5.37695380297585,-2.63697652579983,0,0
"ENSG00000213085",-5.34996656428811,0.476523002678431,0,0
"ENSG00000136574",-5.28324304920083,-0.123956550909521,0,0
"ENSG00000286425",-5.25636135109139,-1.56251086957348,0,0
"ENSG00000244681",-5.25061904429376,-2.09596261421094,0,0
"ENSG00000226690",-5.24498131465895,-1.57108801403349,0,0
"ENSG00000167757",-5.20917276556443,-1.83754647213484,0,0
"ENSG00000138136",-5.19843107871162,-1.15491696881713,0,0
