"","mRNA","logFC","FDR","Delta","IDH Wildtype","IDH Mutant","start","end"
"ENSG00000105251","ENSG00000105251",2.69409963855331,1.69858557504131e-76,3672.77993714819,1363.26804123711,8572.2465437788,4279266,4290722
"ENSG00000166292","ENSG00000166292",2.635608274304,7.26390803363457e-74,2844.77232065032,1079.36082474227,6693.73502304147,55719627,55732121
"ENSG00000188404","ENSG00000188404",2.71475524768221,1.98072515043146e-77,2764.15259832302,1018.19587628866,6460.99769585253,169690665,169711702
"ENSG00000101311","ENSG00000101311",3.11753506584397,3.55329540537739e-96,2180.24975527482,699.350515463918,5906.66589861751,6074845,6123030
"ENSG00000150275","ENSG00000150275",2.55237091799896,3.65847611604715e-70,2146.62288134387,841.030927835052,4850.04838709677,53802771,55627942
"ENSG00000231419","ENSG00000231419",2.69191676086479,2.20169194779858e-76,1978.69757783154,735.051546391753,4880.65437788018,159006522,159030195
"ENSG00000119283","ENSG00000119283",2.66235175515838,4.59979128310248e-75,1847.8916934824,694.082474226804,4252.49539170507,231162112,231221556
"ENSG00000125845","ENSG00000125845",3.00922606879171,4.98356197906757e-91,1747.95704762887,580.865979381443,4675.20276497696,6767686,6780246
"ENSG00000006611","ENSG00000006611",2.57716358159187,3.0339021037572e-71,1477.64463663725,573.360824742268,3358.06912442396,17493895,17544416
"ENSG00000100181","ENSG00000100181",4.06494170300753,2.90204572314487e-143,1120.70861818072,275.701030927835,4412.48847926267,16601887,16698742
"ENSG00000119973","ENSG00000119973",2.65347962340757,1.15833369385867e-74,726.615729453113,273.835051546392,1558.94930875576,118589997,118595648
"ENSG00000280809","ENSG00000280809",2.97727342795282,1.9430881807908e-89,415.928167239058,139.701030927835,1067.81797235023,25651712,25732935
"ENSG00000278192","ENSG00000278192",3.47309150869216,2.53305355118519e-113,389.344299644521,112.103092783505,1213.30875576037,6065966,6067897
"ENSG00000254139","ENSG00000254139",5.10292033998835,1.04506353536261e-197,368.515020429056,72.2164948453608,2498.08064516129,57746149,57750199
